Material ID,Description
"000000000000001112","sdsds"
"000000000000001121","Test"
"000000000000001123","Test Material"
"000000000000001126","Tekahdbkhsa"
"000000000000001127","Tekahdbkhsa"
"000000000000001129","Tekahdbkhsa"
"000000000000001130","Tekahdbkhsa"
"000000000000001132","Tekahdbkhsa"
"000000000000001133","reascas"
"000000000000001134","Test Material"
"000000000000001135","Tekahdbkhsa"
"000000000000001154","service test material"
"000000000000001158","Test Raw material"
"000000000000001159","Test Raw material"
"000000000000001162","Heavy machinery"
"000000000000001166","Test Material"
"000000000000001168","Test2"
"000000000000001169","Test Material"
"000000000000001171","Test Material Solid"
"000000000000001174","Test Material Solid"
"000000000000001177","Automatic Washing Machine 2"
"000000000000001178","BOLT M06x1.00x16.00 HEX FLANGE BOLT W/ M"
"000000000000001179","BOLT M06x1.00x16.00 HEX FLANGE BOLT W/ M"
"000000000000001194","Part2"
"000000000000001196","Test Material"
"000000000000001198","new material with hope"
"000000000000001201","TEST"
"000000000000001202","New One Computer"
"000000000000001208","Liquid Material"
"000000000000001209","Test Material"
"000000000000001210","Test Material"
"000000000000001212","Test Material"
"000000000000001213","Liquid Material"
"000000000000001214","Liquid Material"
"000000000000001215","New One Computer 1"
"000000000000001218","CEAT material"
"000000000000001500","Computer applications"
"000000000000001501","JSS Material"
"000000000000001504","test for PLM proj-T4C"
"000000000000001505","test for PLM proj-T4C roh"
"000000000000001506","test for PLM proj-T4C fert"
"000000000000001507","SOLAR 10KW ABB"
"000000000000001508","SOLAR 10kw B"
"000000000000001509","SOLAR_10KW ABB"
"000000000000001513","material for BDC"
"000000000000001552","TD-045C1XRW1015G55AZ15 (MTS)"
"000000000000002441","test"
"000000000000002454","test11"
"000000000000002455","test22"
"000000000000002456","test33"
"000000000000003214","TEST-R1 FOR TESTING"
"000000000000003215","TEST-R1 FOR TESTING"
"000000000000003216","TEST-R1 FOR TESTING"
"000000000000011111","Demo material 11111"
"000000000000011194","Part2"
"000000000000015598","ROH 1005"
"000000000000015607","Reiginte Raw Material"
"000000000000015609","ROH 1011"
"000000000000015611","test for PLM proj-T4C roh"
"000000000000015612","test for PLM proj-T4C HALB"
"000000000000015613","test for PLM proj-T4C fert"
"000000000000015615","Reiginte Raw Material"
"000000000000015616","uydyf"
"000000000000015619","regnite raw material"
"000000000000015621","Reiginte Raw Material"
"000000000000015623","Reiginte Finish Material 15623"
"000000000000015624","Reiginte fg material"
"000000000000015629","Reiginte Raw Material"
"000000000000015632","Reignite Finish Material"
"000000000000015635","Reignite Semifinished Mat"
"000000000000015636","Reiginte fg material"
"000000000000015637","Reiginte fg material"
"000000000000015638","Reignite Semifinished Mat"
"000000000000015639","Test for P2P cycle"
"000000000000015641","Reignite Semifinished Mat"
"000000000000015644","test for asset process"
"000000000000015646","TESTING MATERIAL"
"000000000000015647","Reignite Semifinished Mat"
"000000000000015652","Test For batch"
"000000000000015653","TestSR"
"000000000000015656","Semifinished Material"
"000000000000015657","Transmission assembly"
"000000000000015659","Test Material"
"000000000000015671","Steel rods"
"000000000000015674","Reignite raw materials"
"000000000000015675","PACKAGING MATERILAS"
"000000000000015676","PACKAGING MATERILAS"
"000000000000015681","Test Sort"
"000000000000015682","Test Sort"
"000000000000015683","Test Sort"
"000000000000015705","Computer Laptop Dell"
"000000000000015706","LCD Screen 15inch"
"000000000000015707","Plastic Raw Material"
"000000000000015708","Office Chair Black"
"000000000000015709","Chair Armrest"
"000000000000015710","Computer Laptop Dell"
"000000000000015711","LCD Screen 15inch"
"000000000000015712","Plastic Raw Material"
"000000000000015713","Office Chair Black"
"000000000000015714","Chair Armrest"
"000000000000015716","Monitor"
"000000000000015718","Computer Laptop Dell"
"000000000000015719","LCD Screen 15inch"
"000000000000015720","Plastic Raw Material"
"000000000000015721","Office Chair Black"
"000000000000015722","Chair Armrest"
"000000000000015725","Computer Laptop Dell"
"000000000000015726","LCD Screen 15inch"
"000000000000015727","Plastic Raw Material"
"000000000000015728","Office Chair Black"
"000000000000015729","Chair Armrest"
"000000000000015730","MAT1060 - TEST MATERIAL 1"
"000000000000015731","MAT1061 - ELECTRICAL COMPONENT"
"000000000000015735","MAT1013"
"000000000000015736","MAT1014"
"000000000000015738","MAT1016"
"000000000000015739","MAT1017"
"000000000000015742","MAT1013"
"000000000000015743","MAT1014"
"000000000000015745","MAT1016"
"000000000000015746","MAT1017"
"000000000000015755","material_02"
"000000000000015774","Blue Color Body"
"000000000000015781","BRKT A-BATTERY"
"000000000000111194","Part2"
"000000000001200000","ROH  material creation for 1005"
"000000000010000001","sinter fines (WET)"
"000000000010000002","super fines (DRY)"
"000000000010000003","Super fines"
"000000000010000004","Lumps"
"000000000020000001","DRY plant ore"
"000000000020000002","Wet plant ore"
"000000000020000003","oversize"
"000000000030000001","Waste (Scrap)"
"000000000030000002","explosives"
"000000000123456789","sample material"
"000000053987650001","test material"
"000000100000000001","Finished Product A"
"000000100000000002","Raw Material B"
"000000100000000003","Raw Material B"
"000000100000000004","Raw Material B"
"000000100000000005","Raw Material B"
"000000100000000006","Raw Material B"
"000000100000000007","Raw Material B"
"000000100000000008","Raw Material B"
"000000100000000009","Raw Material B"
"000000100000000010","Raw Material B"
"000000100000000011","Raw Material B"
"000000100000000012","Raw Material B"
"000000100000000013","Raw Material B"
"000000100000000014","Raw Material B"
"000000100000000015","Raw Material B"
"000000100000000016","Raw Material B"
"000000100000000017","Raw Material B"
"000000100000000018","Raw Material B"
"000000100000000021","Raw Material B"
"000000100000000022","Raw Material B"
"000000142600063003","John Wayne (jwayne)"
"000000283404201231","MYTEST"
"000000283404201232","MYTEST"
"000000283432678001","Petrol Engine Assy"
"000000283432678002","Diesel Engine Assy"
"000000283432678003","Alloy Wheel Assembly"
"000000283432678004","Steel Wheel Assembly"
"000000283432678005","Petrol Engine Assy part1"
"000000283432678006","Petrol Engine Assy part2"
"000000283432678007","Diesel Engine Assy part1 updated"
"000000283432678008","Diesel Engine Assy part2"
"000000283432678009","Alloy Wheel Assembly Part1"
"000000283432678010","Alloy Wheel Assembly Part2"
"000000283432678011","Steel Wheel Assembly Part1"
"000000283432678012","Steel Wheel Assembly Part2"
"000000283432688001","chassis part1"
"000000283432688002","chassis part2"
"000000283432688003","chassis part3"
"000000283432688004","chassis part4"
"000000283432688005","chassis part5"
"000000283432688006","chassis part6"
"000000283432688007","chassis part7"
"000000283432688008","chassis part8"
"000000283432699001","chassis Assy1"
"000000283432699002","chassis Assy2"
"000000283432699003","chassis Assy3"
"000000312636347001","New Dicor Engine"
"000000312636347002","Engine"
"000000312636347003","Deluxe Model"
"000000312636347004","Standard  Model"
"000000312636347005","Body type1"
"000000312636347006","Body type2"
"000000312636347007","Sub Assy R3"
"000000312636347008","Sub Assy Componenet R3"
"000000312636387001","pady_engine1"
"000000312636387002","pady_engine2"
"000000312636387003","pady_ac1"
"000000312636387004","pady_ac2"
"000001012604560333","SZF MKL MEM MASS.FS RL 68267766"
"000001012604560334","SZF MKL MEM MASS.FS RL 68267766"
"000001014122012000","BODY BLACK B1001"
"000001014122012001","ROH for EWM Testing"
"000001014122012003","ROH for EWM Testing 1"
"000002040062790000","POLYETHYLENE BAG"
"000002047342676601","GREEN HOLE"
"000002047342680000","FIXED DX CONTACT"
"000002054969000811","SZF MKL MEM MASS.FS RL 68267766"
"000002054969000812","SZF MKL MEM MASS.FS RL 68267766"
"000002054969000813","SZF MKL MEM MASS.FS RL 68267766"
"000002054969000814","SZF MKL MEM MASS.FS RL 68267766"
"000002054969000815","SZF MKL MEM MASS.FS RL 68267766"
"000002054969000816","SZF MKL MEM MASS.FS RL 68267766"
"000002056653071100","SOUND ASSEMBLY"
"000002834042012344","MYTEST"
"000002834426301234","Componenet Item1"
"000002834426301235","Componenet Item2"
"000002834426301236","Assembly Item1"
"000002834426301237","Assembly Item2"
"000002834426301238","Componenet Item3"
"000002834426301239","Componenet Item4"
"000003047353250003","bmw car"
"000003054969000810","SZF MKL MEM MASS.FS RL 68267766"
"000003054969000811","SZF MKL MEM MASS.FS RL 68267766"
"000003054969000812","SZF MKL MEM MASS.FS RL 68267766"
"000003054969000813","SZF MKL MEM MASS.FS RL 68267766"
"000003054969000814","SZF MKL MEM MASS.FS RL 68267766"
"000011_A","System-1"
"000012_A","New"
"000013_A","System-1"
"000014_A","System-1"
"000034_A","New"
"000037_A","Program"
"000038_A","System-1"
"000038_B","System-1"
"000312636347008001","Dicor engine Part1"
